景点名称,美食评分,人均消费,地址,推荐菜,评价
auncel coffee,4.5,139,提督街58号1层4号,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
野梨树Rootland·书店·咖啡·精酿(麓湖麓坊店),4.5,106,成都市嘉州路麓坊中心A馆3栋二单元三楼,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
赵大前火锅,4.1,85,四川省成都市锦江区牛市口街道水碾河南三街37号,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
全渔村小海鲜(祥和里店),4.5,118,猛追湾街道祥和里65号,"抹茶泡芙, 香草黑曲奇泡芙, 香草酥皮泡芙, 宇治抹茶曲奇, 香草泡芙",风味小龙虾，小龙虾肉质Q弹，风味麻辣的汤汁包裹着每只虾，让每一口都充满惊喜。
彭州无所事事民宿·蕉下餐厅,4.4,144,彭州市桂花镇蟠龙村4组1号,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
署茗职茶（东郊记忆店）,4.2,65,东郊记忆北二门（成都墙右前方）,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",担担面，面条筋道，酱香浓郁的担担面酱让整碗面条充满四川特色风味。
VIC HOPPY精酿酒吧,4.6,100,天府大道与华府大道交汇处华府大道一段1号,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
溪兮里·私房菜·团建·烤肉(三圣乡店),4.7,129,花博路红砂村联合一组3号,"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
Persea璞舍(保利时光里店),4.5,89,成都市武侯区吉瑞二路世龙公馆西南侧约160米,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
山茶食记,3.6,68,成都市双流区金葡路沿河小区东南侧约200米,"土豆炖牛肉, 番茄炒蛋, 炒青菜, 芹菜炒肉, 蘑菇炖鸡",回锅肉，五花肉经过煸炒后吸满了特制酱料的香味，搭配青蒜和辣椒，层次丰富，咸香可口。
品串烧烤,3.7,149,万象南路171号（交子大道地铁站C2口步行230米）,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
娜火锅·鲜货火锅(花沐里店),4.6,113,四川省成都市温江区都堂路376号,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
拌仙兔头（抚琴店）,4.3,147,金琴路与抚琴西路交叉口西南60米,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",辣子鸡，小块的鸡肉外酥里嫩，辣椒的香辣与花椒的麻完美结合，每一口都让人热血沸腾。
灶娘子九大碗社区火锅(太升南路店),3.5,133,太升南路141号（太升南路地铁站C口步行160米）,"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
刘小亮东北铁锅炖（中坝七分店）,3.8,118,光华西三路58、60号2楼,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
丘山茶室,4.6,68,天府新区籍田街道石庙村4组9号,"三鲜炒面, 泡菜炖豆腐, 蒜蓉西兰花, 红烧牛肉面, 清蒸鲳鱼",藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
茶遇酒·花园茶舍·商务洽谈(兰桂坊店),4.2,66,锦官驿街15号,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
曹血旺牛肉小火锅(光华店),4.6,137,四川省成都市青羊区光华北三路光华逸家,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
饕林餐厅(总府路店),3.6,81,春熙路街道蜀都大道总府路31号Z31综合体2楼（靠近皇冠假日酒店侧扶梯上二楼）,"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
多半馆馆(太古里店),4.1,100,华兴东街16号附2号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
茉莉奶白(都江堰市大融城店),4.9,68,四川省成都市都江堰市都江堰大道106号1F-05D号,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",黄焖排骨，排骨炖得软烂入味，浓厚的酱汁包裹着每块肉，是无法抗拒的美味。
山野万里咖啡(东郊记忆店),4,93,成都市建设南支路4号,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
地中海餐厅 (湖滨城店),4.8,143,怡飞大道二段与怡畅路交叉口蔚蓝湖滨城内,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
达美乐比萨(龙湖滨江天街店),5,70,龙湖滨江天街1楼2号门（临街商铺）,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",台式卤肉饭，细腻的卤肉酱与白米饭交融，搭配香煎荷包蛋，家常味中透着浓浓的幸福感。
老東家传统竹竿面(芳草街店),4.1,101,新能巷1号附5号,"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",黑椒牛柳，牛柳炒得嫩滑多汁，浓郁的黑椒酱汁裹满肉片，咸香适中，令人胃口大开。
野风庭院茶舍,4.3,123,成都市双流区协泰北街211号附1号,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
百年神厨·地道川菜(春熙路群光广场店),4.4,95,春熙路群光广场八楼（北门四部直梯直达）,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",粉蒸肉，五花肉裹满蒸粉后蒸制而成，软糯不腻，入口即化，米粉的香气完美渗入肉中。
宋艳华米线,4,146,四川省成都市武侯区红牌楼街道二环路南四段61号(优客联邦一期东南门对面),"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
橙煌梨园·看川剧变脸·喝盖碗茶,4.2,89,井巷子46号附2号,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",干锅土豆片，土豆片经过高温翻炒，外皮焦脆，内里软糯，吸收了干锅的香料精华，是一道难以抗拒的佳肴。
爷爷不泡茶(万达广场锦华路店),3.8,118,锦华万达商场154号1楼1号门入口星巴克对面,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",香煎牛排，采用进口牛肉，煎制得外焦里嫩，撒上少许海盐，搭配一勺黑胡椒酱，让人直呼过瘾。
金屋烧肉(昭觉寺南路地铁站店),4.6,77,双水碾街道昭觉寺南路与洪山路交叉口（东立天地-北1门 2楼电梯口）,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",锅包肉，酥脆的外皮裹着酸甜的糖醋汁，外脆内嫩，甜而不腻，是经典东北菜。
成都传家合院(花舞人间店)·餐厅,3.8,136,四川省成都市新津区永商镇梨花大道一段555号,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
山苗苗贵州酸辣烫小馆（成都太古里店）,4.8,90,中纱帽街8号地下一层M026（太古里优衣库旁）,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",麻婆豆腐，滑嫩的豆腐裹满了红亮的辣油和牛肉末，麻辣鲜香，完美下饭。
迈阿密酒吧(明日大道店),4.6,139,四川省成都市崇州市崇阳街道棋盘村五组A03号,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
BAR X,4.2,150,蓝润置地广场T2栋3楼310号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
翻堂冰事coffee,3.6,84,城北下街47号,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
兴隆悦铂金店(保利时光里店),4.8,131,四川省成都市武侯区桂溪街道保利国际广场,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
燃逅·雪茄烟斗体验馆·CIGAR&amp;WHISKEY,4.1,139,三色路269号附103号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",香煎牛排，采用进口牛肉，煎制得外焦里嫩，撒上少许海盐，搭配一勺黑胡椒酱，让人直呼过瘾。
As one归一小酒馆,4,69,河坊街23号,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
贰麻酒馆(桂溪公园店),3.8,139,天府一街188号桂溪花园公园西区2号,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",麻婆豆腐，滑嫩的豆腐裹满了红亮的辣油和牛肉末，麻辣鲜香，完美下饭。
开摆Carpe Diem Cocktail·drinks(成华奥园广场店),4.5,132,双店路66号5栋2层43号,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",干锅土豆片，土豆片经过高温翻炒，外皮焦脆，内里软糯，吸收了干锅的香料精华，是一道难以抗拒的佳肴。
来事nice bar,3.6,124,康乐巷59号,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
六悦酒肆,4.2,149,观东二街188号,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
THE EMBRACE初拥茶酒会,3.9,141,吉瑞一路12号负1楼（近星宸国际）,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
夜蒲,4.2,124,四川省成都市武侯区科华中路8-3号,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
啤卤匠社区精酿(理工店),4.4,84,民兴路844号理工东苑,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
黑胶文化馆,4.4,148,一环路南一段27号,"苦瓜炒蛋, 炒苦瓜, 香煎鸡排, 家常炒豆角, 粉蒸排骨",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
in9 house(新驿村店),4.7,109,广场路新驿村35号,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
路克斯酒馆,4.8,99,锦江路四段276号,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
base基地,4.4,76,四川省成都市武侯区太平南新街6号3栋1层,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
幸会营地火锅(戛纳湾·印像店),4.1,64,华阳滨河路二段568号戛纳湾·印像B栋3楼4301-4302,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
Uni有霓(融创nano店),4.5,146,融创Nano公馆1栋1层111号（进小区圆形广场右手边）,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
麓山二号会所雪茄红酒屋,3.9,97,四川省成都市双流区麓山大道二段6号,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
大哥二弟的小酒馆(白马苑店),3.7,144,白马寺街4号附11号,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",黄焖排骨，排骨炖得软烂入味，浓厚的酱汁包裹着每块肉，是无法抗拒的美味。
马六甲酒吧,3.7,61,成都市武侯区双楠路名都苑,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",香辣螺丝，螺丝肉经过长时间的炖煮，完全吸收了麻辣汤汁，鲜美的滋味让人一颗接一颗。
S Bar,4.5,87,科华南路1366号附1043号-1层（招商大魔方A馆9号门面对中国福利彩票往左走100米）,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
不晚·Camping,4.5,98,橡树林东路与橡树林路交叉口东南140米,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
深蓝女士酒吧The L World Bar,3.6,118,保利中心B座1504室,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
零舞二九酒吧,4.8,149,四川省成都市都江堰市翔和二巷8号,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
嘿亚HeyYa,4.5,117,四川省成都市锦江区青年路2号万紫服装城7楼面向海澜之家左侧通道电梯间客梯上七楼,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",黑椒牛柳，牛柳炒得嫩滑多汁，浓郁的黑椒酱汁裹满肉片，咸香适中，令人胃口大开。
泊里Bar&amp;Coffee(华阳店),3.9,61,新程大道103号,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
Pluto普鲁托精酿酒馆,4.2,89,大天路700号5栋附104室,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
游livehouse,4.1,76,成都市锦江区汇聚路成都文华广场,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
Box beer旗舰店,4.7,114,成都市武侯区广福路金科双楠天都,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
零点公路精酿酒仓(犀浦体育公园店),4.1,118,四川省成都市郫都区龙梓街740号犀浦体育公园商铺,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
99livehouse·现场音乐酒馆,4.4,96,合信路时代天街29栋3楼301-303室,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
玖幺柒玖精酿啤酒馆(杨柳店),3.6,71,杨柳西路中段109-112号,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
CampBar,3.8,77,成都市双流区成都雅居乐花园,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
Malrieu酒吧,3.6,80,一环路北二段9号7栋附104号,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
